year,month,temperature,humidity,precipitation_rate
2006,1,26.38224284660406,84.89467635531494,
2006,2,26.652118910581486,85.17090478606097,
2006,3,27.2299058723445,83.23944362006591,
2006,4,27.165076782622485,85.10334707909881,
2006,5,27.228968912808227,85.0172170359422,
2006,6,27.020845419543747,84.45918949929545,
2006,7,27.472928945075502,82.7683919932272,
2006,8,27.209164555310725,82.38809187006235,
2006,9,26.729157950364186,84.80104747802167,
2006,10,26.97147380636479,84.64660947879027,
2006,11,26.711353017881322,86.17154755601743,
2006,12,26.65611564000743,86.0682383181276,
2007,1,26.112491047445634,86.79599294971794,
2007,2,26.674546821096662,82.85330700698583,
2007,3,27.045255997357543,83.85731081375351,
2007,4,27.394816236204548,84.90842364299779,
2007,5,27.65117311309304,84.11288718790641,
2007,6,27.400966266557948,85.08648082053408,
2007,7,26.9945464238378,84.80342594777058,
2007,8,26.985927733488797,83.64612641299681,
2007,9,26.960207362784057,85.26064579547578,
2007,10,26.78200912900873,86.06516254121918,
2007,11,26.302747354324275,87.32772532238891,
2007,12,26.139215341589,87.676169956083,
2008,1,26.356415221552204,86.2968895275798,
2008,2,26.10448347997279,84.07303193054773,
2008,3,26.26879265127318,87.18495017526888,
2008,4,27.036904073372614,85.69664914208643,
2008,5,27.268753435840193,84.2252620114605,
2008,6,26.936269025937662,84.71556172849394,
2008,7,26.63283647009994,84.69148091674704,
2008,8,26.73181073977824,84.37955157712716,
2008,9,26.857818016390524,83.93688351917774,
2008,10,26.74393872409871,86.10700109488457,
2008,11,26.619530547387303,87.07636679287855,
2008,12,26.21618377580946,86.4387283069442,
2009,1,25.748621722882916,85.78335378741187,
2009,2,26.539639936111694,84.09143704446915,
2009,3,26.604910725083972,85.90810300517632,
2009,4,27.477922684577656,84.55667187680339,
2009,5,27.57937727380238,84.19756714839805,
2009,6,27.814027294343116,82.00009692959638,
2009,7,27.198088170275746,82.88084718424112,
2009,8,27.34809463842031,83.43929391574815,
2009,9,27.35204486702213,83.73874567731609,
2009,10,26.970037553325135,84.76800388406751,
2009,11,26.48883261324645,87.4265178245713,
2009,12,26.50663892201674,86.38831023514203,
